Length,15 mm,20 mm,25 mm,32 mm,40 mm,50 mm,65 mm,80 mm,100 mm
10,3320,6950,13100,26900,40300,77600,124000,219000,446000
20,2280,4780,9000,18500,27700,53300,85000,150000,306000
30,1830,3840,7220,14800,22200,42800,68200,121000,246000
40,1570,3280,6180,12700,19000,36600,58400,103000,211000
50,1390,2910,5480,11300,16900,32500,51700,91500,187000
60,1260,2640,4970,10200,15300,29400,46900,82900,169000
70,1160,2430,4570,9380,14100,27100,43100,76300,156000
80,1080,2260,4250,8730,13100,25200,40100,70900,145000
90,1010,2120,3990,8190,12300,23600,37700,66600,136000
100,956,2000,3770,7730,11600,22300,35600,62900,128000
125,848,1770,3340,6850,10300,19800,31500,55700,114000
150,768,1610,3020,6210,9300,17900,28600,50500,103000
175,706,1480,2780,5710,8560,16500,26300,46500,94700
200,657,1370,2590,5320,7960,15300,24400,43200,88100
250,582,1220,2290,4710,7060,13600,21700,38300,78100
300,528,1100,2080,4270,6400,12300,19600,34700,70800
350,486,1020,1910,3930,5880,11300,18100,31900,65100
400,452,945,1780,3650,5470,10500,16800,29700,60600
450,424,886,1670,3430,5140,9890,15800,27900,56800
500,400,837,1580,3240,4850,9340,14900,26300,53700
550,380,795,1500,3070,4610,8870,14100,25000,51000
600,363,759,1430,2930,4400,8460,13500,23900,48600
650,347,726,1370,2810,4210,8110,12900,22800,46600
700,334,698,1310,2700,4040,7790,12400,21900,44800
750,321,672,1270,2600,3900,7500,12000,21100,43100
800,310,649,1220,2510,3760,7240,11500,20400,41600
850,300,628,1180,2430,3640,7010,11200,19800,40300
900,291,609,1150,2360,3530,6800,10800,19200,39100
950,283,592,1110,2290,3430,6600,10500,18600,37900
1000,275,575,1080,2230,3330,6420,10200,18100,36900
1100,261,546,1030,2110,3170,6100,9720,17200,35000
1200,249,521,982,2020,3020,5820,9270,16400,33400
1300,239,499,940,1930,2890,5570,8880,15700,32000
1400,229,480,903,1850,2780,5350,8530,15100,30800
1500,221,462,870,1790,2680,5160,8220,14500,29600
1600,213,446,840,1730,2590,4980,7940,14000,28600
1700,206,432,813,1670,2500,4820,7680,13600,27700
1800,200,419,789,1620,2430,4670,7450,13200,26900
1900,194,407,766,1570,2360,4540,7230,12800,26100
2000,189,395,745,1530,2290,4410,7030,12400,25400
